# module	divergent-functions	behaviour-risks	generated-methods
AI.AIAgent.Creature.Demon.Fire.Spells.HellArms.BreachStraight.FireDemon_HellArms_BreachStraight	1	0	0
AI.AIAgent.Creature.Demon.Fire.Spells.HellArms.BreachZigZag.FireDemon_HellArmsArea_BreachZigZag	1	0	0
AI.AIAgent.Creature.Demon.Fire.Spells.HellArms.BreachZigZag.FireDemon_HellArmsArea_BreachZigZag_Fire	1	0	0
AI.AIAgent.Creature.Demon.Fire.Spells.HellArms.Ring.Barrier.FireDemon_HellArms_Barrier_Ring	1	0	0
AI.AIAgent.Creature.Demon.Fire.Spells.HellArms.Ring.Barrier.FireDemon_HellArms_RingFireTest	1	0	0
AI.AIAgent.Creature.Golem.Fire.Spells.BreakFloor.GA_Spell_BreakFloor_FireGolem	2	0	0
AI.AIAgent.Creature.Molerat.CombatSituations_Molerat	1	0	0
AI.AIAgent.Creature.Skeleton.SkeletonMage.Spells.SoulHarvest.SoulHarvest_Visual	2	0	0
AI.AIAgent.Orc.Combat.Staff.Spells.StormOfFire.GA_Spell_StormOfFire_Orc	1	0	0
AI.AssessmentResponseSystem.AssessmentBits	7	0	0
AI.AssessmentResponseSystem.CrimeProcessingSubsystem.AssessJoinConflict	4	0	0
AI.AssessmentResponseSystem.CrimeProcessingSubsystem.CrimeEvaluationContext	1	0	0
AI.AssessmentResponseSystem.CrimeProcessingSubsystem.CrimeProcessingResponse	1	0	0
AI.AssessmentResponseSystem.CrimeProcessingSubsystem.CrimeProcessingSubsystem	12	0	0
AI.AssessmentResponseSystem.EventResponses	4	0	0
AI.CharacterAI_Gothic	5	0	0
AI.CharacterAI_Human	1	0	0
AI.CharacterAI_Orc	2	0	0
AI.DailyRoutines.DailyRoutines_OG	1	0	0
AI.NativeAICommands	2	0	0
AI.Relationship.PersonalRelationshipModifiers	1	0	0
AI.States.AIState_FollowCharacterAggressive	2	0	0
AI.States.AIState_GuideCharacter	2	0	0
AI.States.AIState_InteractWinchGate	1	0	0
AI.States.FightAI.AIGroup_ConflictInstance	1	0	0
AI.States.FightAI.AIState_PerceptionResponse	3	0	0
AI.States.FightAI.AssessGoToDailyRoutineState.UAIState_AssessGoToDailyRoutine	1	0	0
